name,id,portal_name,street,street2,zipcode,city,state,county,country,lat,lon,type,description,url,phone,email,archived,status,activityName,activityCnt,role,contactNames,contactEmails,courses,sectionCnt,unitNames,unitCnt,externalId,programs
"100 Black Men of Indianapolis, Inc.",42944094-46b0-420c-5543-d3e6aa5f2604,Indianapolis,901 N Meridian St,,46208,Indianapolis,IN,Marion County,US,39.77921,-86.157625,nonprofit,"As the 100 Black Men of Indianapolis, we envision a future where the strength of our youth development programs and  the collective partnerships with our communities and schools, positively impact the mental, physical, moral and spiritual  development of young people.   To realize our vision, we partner with local school districts, universities, and other  organizations to provide programs that encourage personal development, academic growth, and basic life skills.",http://www.100blackmenindy.org/,,,False,approved,['SEAL Indiana'],1,"{""Provide access to target populations"",""Provide volunteer site or space""}",[' '],[''],,1,"['Center for Service and Learning', 'School of Dentistry', 'IUSD: Department of Cariology, Operative Dentistry, and Dental Public Health']",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
500 Festival Foundation,024a2806-249d-49df-7e35-10604c568e65,Indianapolis,21 Virginia Ave,,46204,Indianapolis,IN,,US,39.766035,-86.155627,informal,"The 500 Festival, a not-For-profit volunteer organization, was created in 1957 to organize civic events celebrating the greatest race in the world.",http://www.500festival.com/,,,False,approved,['SEAL Indiana'],1,"{""Promote event to target populations"",""Provide volunteer site or space""}",[' '],[''],,1,"['IUSD: Department of Cariology, Operative Dentistry, and Dental Public Health', 'School of Dentistry', 'Center for Service and Learning']",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
American Association of Public Health Dentistry (AAPHD),f3dbd48d-1b93-4f28-4237-127cb757ba09,Indianapolis,3085 Stevenson Dr.,,62703,Springfield,IL,Illinois,US,39.75885,-89.610152,informal,American Association of Public Health Dentistry (AAPHD)  provides a focus for meeting the challenge to improve oral health. AAPHD membership is open to all individuals concerned with improving the oral health of the public.,http://www.aaphd.org/,,,False,approved,['Shelter Sealant Program: Oral Health Service to Victims of Domestic Violence'],1,"{""Identify areas of need"",""Set goals"",""Discuss how to work together""}",['NA NA'],['NA@email.com'],,1,"['American Association of Public Health Dentistry Student Chapter', 'School of Dentistry']",1,None,"['IUI 2030 Strategic Plan Pillar 3, Goal 4: Health Service Outcomes']"
Anderson Community School Corp: Alexandria-Monroe High School,90e02fc8-9e1f-4c82-45e4-9494953fdc74,Indianapolis,1 Burden Ct,,46001,Alexandria,IN,Madison,US,40.252094,-85.678499,education: k-12,,http://alexandriacsc.schoolinsites.com,(765) 724-4413,,False,approved,"['Special Programs for Academic Nurturing (SPAN)', 'iDEW: Computing by Design Summer Workshop']",1,"{""Promote event to target populations"",""Provide access to target populations""},{""Provide access to target populations"",""Provide information materials""}","[' ', ' ']","['', '']",,1,"['Luddy School of Informatics, Computing, and Engineering', 'University College', 'Special Programs for Academic Nurturing']",1,5275-5041,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Anderson Community School Corp: Anderson High School,bcc09301-96ce-4c43-4873-c1c433d13831,Indianapolis,4610 Madison Ave,,46013,Anderson,IN,Madison,US,40.065837,-85.690681,education: k-12,,http://www.acsc.net/,(765) 641-2037,,False,approved,"['Special Programs for Academic Nurturing (SPAN)', 'iDEW: Computing by Design Summer Workshop']",1,"{""Provide access to target populations""},{""Provide access to target populations"",""Provide information materials""}","[' ', ' ']","['', '']",,1,"['Special Programs for Academic Nurturing', 'University College', 'Luddy School of Informatics, Computing, and Engineering']",1,5275-4945,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Apogee School For The Gifted,6d2dbdea-ee59-467e-6108-d079a379aeb3,Indianapolis,4550 Central Ave,,47711,Indianapolis,IN,Marion,US,39.839185,-86.150665,education: k-12,,http://http://www.apogeeschool.com,(317) 506-1392,,False,approved,['Scripps National Spelling Bee'],1,"{""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""}",[' '],[''],,1,"['School of Education', 'School of Liberal Arts', 'Division of Student Affairs']",1,A149,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Archdiocese of Indianapolis: Bishop Chatard High School,4fa7eaaa-7afa-45bd-4fed-9ea59831b78d,Indianapolis,5885 N Crittenden Ave,,46220,Indianapolis,IN,Marion,US,39.860305,-86.128179,education: k-12,,http://www.bishopchatard.org,(317) 251-1451,,False,approved,"['Special Programs for Academic Nurturing (SPAN)', 'iDEW: Computing by Design Summer Workshop']",1,"{""Provide access to target populations""},{""Provide access to target populations"",""Provide information materials""}","[' ', ' ']","['', '']",,1,"['Special Programs for Academic Nurturing', 'University College', 'Luddy School of Informatics, Computing, and Engineering']",1,C705,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Archdiocese of Indianapolis: Cathedral High School,4618a8e9-ade5-489c-64d3-d6b3ac5bbe7d,Indianapolis,5225 E. 56th St.,,46226,Indianapolis,IN,Marion,US,39.851805,-86.08097,education: k-12,"Cathedral High School is a private, Catholic high school in Indianapolis, Indiana, United States serving approximately 1,200 students in grades 9 to 12.",http://www.gocathedral.com/,(317) 542-1484,admissions@gocathedral.com,False,approved,"['Special Programs for Academic Nurturing (SPAN)', 'iDEW: Computing by Design Summer Workshop']",1,"{""Provide access to target populations""},{""Provide access to target populations"",""Provide information materials""}","[' ', ' ']","['', '']",,1,"['Luddy School of Informatics, Computing, and Engineering', 'Special Programs for Academic Nurturing', 'University College']",1,C700,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Archdiocese of Indianapolis: Central Catholic School,c4462969-ae9b-48f9-5636-595d6b2b7eb2,Indianapolis,1155 E Cameron,,46203,Indianapolis,IN,Marion,US,39.752327,-86.13975,education: k-12,,http://www.centralcatholicindy.org/,(317) 783-7759,,False,approved,['Scripps National Spelling Bee'],1,"{""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""}",[' '],[''],,1,"['School of Liberal Arts', 'Division of Student Affairs', 'School of Education']",1,C625,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
Archdiocese of Indianapolis: Holy Spirit School,0d7d5420-fc23-4775-4086-da382ab2064f,Indianapolis,7241 E 10th St,,46219,Indianapolis,IN,Marion,US,39.781276,-86.038731,education: k-12,,https://www.holyspirit-indy.org/school/,(317) 352-1243,,False,approved,['Scripps National Spelling Bee'],1,"{""Evaluate or provide feedback on students' work"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations"",""Provide information materials"",""Supervise the activity"",""Supervise students""}",[' '],[''],,1,"['School of Liberal Arts', 'Division of Student Affairs', 'School of Education']",1,C390,"['IUI 2030 Strategic Plan Pillar 3, Goal 2: P-12 Education']"
