id,name,street,street2,zipcode,city,state,county,country,latitude,longitude,type,description,url,phone,email,archived,status,activityCnt,activityName,role,contactNames,contactEmails,sectionCnt,courses,unitCnt,unitNames,externalId,portal_name,programs
e012d90a-392b-4ff5-5171-86e73442a8ae,Centerville-Abington Community Schools,115 West South St,,47330,Centerville,IN,Wayne,US,39.813364,-84.998822,education: k-12,,http://www.centerville.k12.in.us,,,False,approved,1,['Career Coaching Grant - IUE'],"{""Co-educate students"",""Manage the event or activity"",""Provide access to target populations"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['Career Services'],,East,Career Coaching
cd8a3d20-dd49-4484-711d-c861bf917704,Centerville-Abington Com Schs: Centerville-Abington Jr High Sch,509 Willow Grove Rd,,47330,Centerville,IN,Wayne,US,39.812508,-85.002255,education: k-12,,http://www.centerville.k12.in.us/schools/jr_high/default.htm,(765) 855-5113,,False,approved,1,['Career Coaching Grant - IUE'],"{""Co-educate students"",""Manage the event or activity"",""Provide access to target populations"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['Career Services'],8982,East,Career Coaching
f29cde30-4162-4a25-6aa2-fdeb1df87270,Centerville-Abington Com Schs: Centerville Sr High School,507 Willow Grove Rd,,47330,Centerville,IN,Wayne,US,39.8122,-85.00115,education: k-12,,http://www.centerville.k12.in.us/schools/sr_high/default.htm,(765) 855-3481,,False,approved,1,['Career Coaching Grant - IUE'],"{""Co-educate students"",""Manage the event or activity"",""Provide access to target populations"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['Career Services'],8981,East,Career Coaching
454ad9b5-972f-48df-7a85-5bc4f8633799,Delaware Community School Corp,9750 N CR 200 E,,47303,Muncie,IN,Delaware,US,39.522887,-87.071103,education: k-12,,http://www.delcomschools.org/,(765) 284-5074,,False,approved,1,['Career Coaching Grant - IUE'],"{""Co-educate students"",""Manage the event or activity"",""Provide access to target populations"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['Career Services'],1875,East,Career Coaching
8bde46c3-a6aa-4f31-4918-03d57779d27f,Delaware Community School Corp: Delta High School,3400 E SR 28,,47303,Muncie,IN,Delaware,US,40.278377,-85.348008,education: k-12,,http://dhs.delcomschools.org,(765) 288-5597,,False,approved,1,['Career Coaching Grant - IUE'],"{""Co-educate students"",""Manage the event or activity"",""Provide funds for the activity"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['Career Services'],1369,East,Career Coaching
0e1aec5b-b750-43d2-7291-2935d2bf38e7,Eastern Hancock Co Com Sch Corp,10370 E 250 N,,46117-0000,Charlottesville,IN,Hancock,US,39.824354,-85.611859,education: k-12,,http://www.easternhancock.org,(317) 467-0064,,False,approved,1,['Career Coaching Grant - IUE'],"{""Co-educate students"",""Manage the event or activity"",""Provide access to target populations"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['Career Services'],3145,East,Career Coaching
a69f5f2d-3aaf-4c3a-7ac7-b809a030bd07,Eastern Hancock Co Com Sch Corp: Eastern Hancock High School,10320 E 250 N,,46117,Charlottesville,IN,Hancock,US,39.823975,-85.610871,education: k-12,,http://hs.easternhancock.org/,(317) 936-5595,,False,approved,1,['Career Coaching Grant - IUE'],"{""Co-educate students"",""Manage the event or activity"",""Provide access to target populations"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['Career Services'],2585,East,Career Coaching
d15a806c-a937-4652-6d51-6d387f59d1f3,Eastern Hancock Co Com Sch Corp: Eastern Hancock Middle School,10380 E 250 N,,46117,Charlottesville,IN,Hancock,US,39.824109,-85.609882,education: k-12,,http://ms.easternhancock.org/,(317) 936-5324,,False,approved,1,['Career Coaching Grant - IUE'],"{""Co-educate students"",""Manage the event or activity"",""Provide access to target populations"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['Career Services'],2582,East,Career Coaching
1bd0efde-cf6b-4d5f-429b-3b9f73b6373c,Franklin County Community Sch Corp,225 E 10th St,,47012-0000,Brookville,IN,Franklin,US,39.42541,-85.01076,education: k-12,,http://www.fccsc.k12.in.us,(765) 647-4128,,False,approved,1,['Career Coaching Grant - IUE'],"{""Co-educate students"",""Manage the event or activity"",""Provide access to target populations"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['Career Services'],2475,East,Career Coaching
301006e3-29aa-42c8-7b65-00a383cde3f6,Franklin County Community Sch Corp: Franklin County High,1 Wildcat Ln,,47012,Brookville,IN,Franklin,US,39.428687,-84.99873,education: k-12,,http://www.fccsc.k12.in.us/fchs,(765) 647-4101,,False,approved,1,['Career Coaching Grant - IUE'],"{""Co-educate students"",""Manage the event or activity"",""Provide access to target populations"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['Career Services'],2083,East,Career Coaching
684e2ff2-4cae-4860-6846-7910e586ba53,Nettle Creek School Corporation,297 E Northmarket St,,47346-1395,Hagerstown,IN,Wayne,US,39.912309,-85.158386,education: k-12,,http://www.nettlecreekschools.com,(765) 489-4543,,False,approved,1,['Career Coaching Grant - IUE'],"{""Co-educate students"",""Manage the event or activity"",""Provide access to target populations"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['Career Services'],8305,East,Career Coaching
af91411a-2eec-4fe3-4790-5a1fe1f4c615,Nettle Creek School Corporation: Hagerstown Jr-Sr High School,701 Baker Rd,,47346,Hagerstown,IN,Wayne,US,39.920615,-85.161253,education: k-12,,http://nettlecreekschools.com/hjshs/,(765) 489-4511,,False,approved,1,['Career Coaching Grant - IUE'],"{""Co-educate students"",""Manage the event or activity"",""Provide access to target populations"",""Provide volunteer site or space"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['Career Services'],8985,East,Career Coaching
