id,name,street,street2,zipcode,city,state,county,country,latitude,longitude,type,description,url,phone,email,archived,status,activityCnt,activityName,role,contactNames,contactEmails,sectionCnt,courses,unitCnt,unitNames,externalId,portal_name,programs
c3bdd38d-f8f2-49b5-61f2-027020088f31,Anderson Community School Corp: Anderson High School,4610 Madison Ave,,46013,Anderson,IN,Madison,US,40.065838,-85.690682,education: k-12,,http://www.acsc.net/,(765) 641-2037,,False,approved,1,['Advanced College Project: SPCH-S 121'],"{""Co-educate students"",""Evaluate or provide feedback on students' work""}",[' '],[''],0,,1,['Department of Speech'],4945,Kokomo,Advanced College Project
7140191d-d95b-4998-70c8-4ef2a862fa5e,Argos Community Schools: Argos Comm Jr-Sr High School,500 Yearick Ave,,46501,Argos,IN,Marshall,US,41.241654,-86.252811,education: k-12,,http://www.argos.k12.in.us,(574) 892-5137,,False,approved,1,['Advanced College Project: SPCH-S 121'],"{""Co-educate students"",""Evaluate or provide feedback on students' work""}",[' '],[''],0,,1,['Department of Speech'],5937,Kokomo,Advanced College Project
3e7ab6d2-d204-400a-66f7-d07fa16485fb,Attica Consolidated School Corp: Attica High School,211 E Sycamore St,,47918,Attica,IN,Fountain,US,40.277395,-87.250629,education: k-12,,http://www.attica.k12.in.us,(765) 762-7000,,False,approved,1,['Advanced College Project: ENG-W 131'],"{""Co-educate students"",""Evaluate or provide feedback on students' work""}",[' '],[''],0,,1,['Department of English and Language Studies'],2053,Kokomo,Advanced College Project
bbe9db81-81c3-4b4c-6b6c-0fd05b856903,Carroll Consolidated School Corp: Carroll Senior High School,2362 E SR 18,,46929,Flora,IN,Carroll,US,40.545993,-86.480601,education: k-12,,http://www.carroll.k12.in.us/cjshs,(574) 967-4157,,False,approved,1,['Advanced College Project: BIOL-L 100'],"{""Co-educate students"",""Evaluate or provide feedback on students' work""}",[' '],[''],0,,1,['Department of Biology'],0621,Kokomo,Advanced College Project
55db986c-2ada-4f17-470b-d21dea71c563,Caston School Corporation: Caston Jr-Sr High School,Box 128,,46931,Fulton,IN,Fulton,US,40.946993,-86.264932,education: k-12,,http://www.caston.k12.in.us/highindex.shtml,(574) 857-3505,,False,approved,3,"['Advanced College Project: SPCH-S 121', 'Advanced College Project: ENG-L 202', 'Advanced College Project: ENG-W 131']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ']","['', '', '']",0,,2,"['Department of Speech', 'Department of English and Language Studies', 'Department of English and Language Studies']",2159,Kokomo,Advanced College Project
f728da6b-63e3-4ca9-52bf-985b7d2a8d03,Daleville Community Schools: Daleville Jr-Sr High School,8400 S Bronco Dr,,47334,Daleville,IN,Delaware,US,40.118071,-85.554962,education: k-12,,http://www.daleville.k12.in.us,(765) 378-3371,,False,approved,7,"['Advanced College Project: CHEM-C 101/121', 'Advanced College Project: SPAN-S 112', 'Advanced College Project: SPCH-S 121', 'Advanced College Project: ENG-L 202', 'Advanced College Project: HIST-H 106', 'Advanced College Project: ENG-W 131', 'Advanced College Project: HIST-H 105']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ', ' ', ' ', ' ', ' ']","['', '', '', '', '', '', '']",0,,5,"['Department of Spanish', 'Department of History, Political Science, and Philosophy', 'Department of English and Language Studies', 'Department of English and Language Studies', 'Department of History, Political Science, and Philosophy', 'Department of Speech', 'Department of Chemistry']",1401,Kokomo,Advanced College Project
89109ae1-74f0-4655-70ee-d127dea6c44a,Diocese of Lafayette Catholic Sch: Central Catholic Jr-Sr High School,2410 S 9th St,,47909,Lafayette,IN,Tippecanoe,US,40.39165,-86.88834,education: k-12,,http://cc.lcss.org/,(765) 474-2496,,False,approved,6,"['Advanced College Project: CHEM-C 101/121', 'Advanced College Project: SPAN-S 112', 'Advanced College Project: SPCH-S 121', 'Advanced College Project: ENG-L 202', 'Advanced College Project: SPAN-S 203', 'Advanced College Project: ENG-W 131']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ', ' ', ' ', ' ']","['', '', '', '', '', '']",0,,4,"['Department of English and Language Studies', 'Department of Spanish', 'Department of English and Language Studies', 'Department of Speech', 'Department of Chemistry', 'Department of Spanish']",D415,Kokomo,Advanced College Project
620f746a-eb8b-4a96-4388-cabe596fbc65,Elwood Community School Corp: Elwood Jr-Sr High School,1137 N 19th St,,46036,Elwood,IN,Madison,US,40.288949,-85.835456,education: k-12,,http://www.elwood.k12.in.us,(765) 552-9854,,False,approved,3,"['Advanced College Project: MATH-M 215', 'Advanced College Project: HIST-H 106', 'Advanced College Project: HIST-H 105']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ']","['', '', '']",0,,2,"['Department of Mathematics', 'Department of History, Political Science, and Philosophy', 'Department of History, Political Science, and Philosophy']",5149,Kokomo,Advanced College Project
c1dc0172-a2c1-47ea-5650-a5a782d3aade,Frankton-Lapel Community Schools: Frankton Jr-Sr High School,610 Clyde St,,46044,Frankton,IN,Madison,US,40.220042,-85.77295,education: k-12,,http://www.flcs.k12.in.us,(765) 754-7879,,False,approved,5,"['Advanced College Project: MATH-M 125', 'Advanced College Project: BIOL-L 100', 'Advanced College Project: HIST-H 106', 'Advanced College Project: HIST-H 105', 'Advanced College Project: MATH-M 126']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ', ' ', ' ']","['', '', '', '', '']",0,,3,"['Department of Mathematics', 'Department of Biology', 'Department of History, Political Science, and Philosophy', 'Department of History, Political Science, and Philosophy', 'Department of Mathematics']",5005,Kokomo,Advanced College Project
81e36c3c-7bbf-4a57-5ff1-8b2d5e9448c8,Frankton-Lapel Community Schools: Lapel Sr High School,1850 S 900 W,,46051,Lapel,IN,Madison,US,40.07716,-85.840824,education: k-12,,http://www.flcs.k12.in.us,(765) 534-3137,,False,approved,1,['Advanced College Project: SPCH-S 121'],"{""Co-educate students"",""Evaluate or provide feedback on students' work""}",[' '],[''],0,,1,['Department of Speech'],5011,Kokomo,Advanced College Project
