id,name,street,street2,zipcode,city,state,county,country,latitude,longitude,type,description,url,phone,email,archived,status,activityCnt,activityName,role,contactNames,contactEmails,sectionCnt,courses,unitCnt,unitNames,externalId,portal_name,programs
7140191d-d95b-4998-70c8-4ef2a862fa5e,Argos Community Schools: Argos Comm Jr-Sr High School,500 Yearick Ave,,46501,Argos,IN,Marshall,US,41.241654,-86.252811,education: k-12,,http://www.argos.k12.in.us,(574) 892-5137,,False,approved,1,['Indiana College Core Certificate (ICC) program'],"{""Identify areas of need"",""Set goals"",""Co-educate students"",""Discuss how to work together"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,2,"['School of Education', 'Office of Student Affairs and Enrolllment Management']",5937,Kokomo,Indiana College Core
28198e23-5024-4ba8-4bbf-ed4148d57f89,Culver Community Schools Corp: Culver Community Middle/High Sch,701 School,,46511,Culver,IN,Marshall,US,41.223887,-86.424224,education: k-12,,http://www.culver.k12.in.us/chs.html,(574) 842-3391,,False,approved,1,['Indiana College Core Certificate (ICC) program'],"{""Identify areas of need"",""Set goals"",""Co-educate students"",""Discuss how to work together"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,2,"['School of Education', 'Office of Student Affairs and Enrolllment Management']",5245,Kokomo,Indiana College Core
89109ae1-74f0-4655-70ee-d127dea6c44a,Diocese of Lafayette Catholic Sch: Central Catholic Jr-Sr High School,2410 S 9th St,,47909,Lafayette,IN,Tippecanoe,US,40.39165,-86.88834,education: k-12,,http://cc.lcss.org/,(765) 474-2496,,False,approved,1,['Indiana College Core Certificate (ICC) program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,2,"['School of Education', 'Office of Student Affairs and Enrolllment Management']",D415,Kokomo,Indiana College Core
c1dc0172-a2c1-47ea-5650-a5a782d3aade,Frankton-Lapel Community Schools: Frankton Jr-Sr High School,610 Clyde St,,46044,Frankton,IN,Madison,US,40.220042,-85.77295,education: k-12,,http://www.flcs.k12.in.us,(765) 754-7879,,False,approved,1,['Indiana College Core Certificate (ICC) program'],"{""Identify areas of need"",""Set goals"",""Co-educate students"",""Discuss how to work together"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,2,"['Office of Student Affairs and Enrolllment Management', 'School of Education']",5005,Kokomo,Indiana College Core
f5e6c8fd-9744-4538-4eca-2457ee35d567,Greenfield-Central Com Schools: Greenfield-Central High School,810 N Broadway,,46140,Greenfield,IN,Hancock,US,39.787762,-85.780056,education: k-12,,http://gchs.gcsc.k12.in.us,(317) 462-9211,,False,approved,1,['Indiana College Core Certificate (ICC) program'],"{""Identify areas of need"",""Set goals"",""Co-educate students"",""Discuss how to work together"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,2,"['Office of Student Affairs and Enrolllment Management', 'School of Education']",2595,Kokomo,Indiana College Core
5a30407a-78f9-459d-7616-9b64501e2bc2,Lewis Cass Schools: Lewis Cass High School,6422 E SR 218 W,,46994,Walton,IN,Cass,US,40.609591,-86.403415,education: k-12,,http://www.lewiscass.net,(574) 626-2511,,False,approved,1,['Indiana College Core Certificate (ICC) program'],"{""Identify areas of need"",""Set goals"",""Co-educate students"",""Discuss how to work together"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,2,"['Office of Student Affairs and Enrolllment Management', 'School of Education']",0689,Kokomo,Indiana College Core
522a40db-d621-48e7-7ec9-e1bee62bd3de,M S D Wabash County Schools: Northfield Jr-Sr High School,154 W 200 N,,46992,Wabash,IN,Wabash,US,40.85502,-85.79567,education: k-12,,http://nhs.msdwc.k12.in.us/,(260) 563-8050,,False,approved,1,['Indiana College Core Certificate (ICC) program'],"{""Identify areas of need"",""Set goals"",""Co-educate students"",""Discuss how to work together"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,2,"['Office of Student Affairs and Enrolllment Management', 'School of Education']",8651,Kokomo,Indiana College Core
7bb641a2-8ed9-45f8-50e3-bd817ecb1462,M S D Wabash County Schools: Southwood Jr-Sr High School,564 E SR 124,,46992,Wabash,IN,Wabash,US,40.73984,-85.78084,education: k-12,,http://www.msdwc.k12.in.us/shs/shshome.htm,(260) 563-8050,,False,approved,1,['Indiana College Core Certificate (ICC) program'],"{""Identify areas of need"",""Set goals"",""Co-educate students"",""Discuss how to work together"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,2,"['School of Education', 'Office of Student Affairs and Enrolllment Management']",8655,Kokomo,Indiana College Core
8d13c2df-696e-43df-75fd-41b0c00a4bda,Noblesville Schools: Noblesville High School,18111 Cumberland Rd,,46060,Noblesville,IN,Hamilton,US,40.057237,-85.997423,education: k-12,,http://www.noblesvilleschools.org/Domain/8,(317) 773-4680,,False,approved,1,['Indiana College Core Certificate (ICC) program'],"{""Identify areas of need"",""Set goals"",""Co-educate students"",""Discuss how to work together"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,2,"['School of Education', 'Office of Student Affairs and Enrolllment Management']",2517,Kokomo,Indiana College Core
2c1897a9-d426-499a-65af-ef3bd18ecf4a,North Adams Community Schools: Bellmont Senior High School,1000 North Adams Dr,,46733,Decatur,IN,Adams,US,40.837169,-84.911723,education: k-12,,https://www.nadams.k12.in.us/bhs,(260) 724-7121,,False,approved,1,['Indiana College Core Certificate (ICC) program'],"{""Identify areas of need"",""Set goals"",""Co-educate students"",""Discuss how to work together"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,2,"['Office of Student Affairs and Enrolllment Management', 'School of Education']",0029,Kokomo,Indiana College Core
