id,name,street,street2,zipcode,city,state,county,country,latitude,longitude,type,description,url,phone,email,archived,status,activityCnt,activityName,role,contactNames,contactEmails,sectionCnt,courses,unitCnt,unitNames,externalId,portal_name,programs
052a6b05-be87-4037-5d77-96624972788d,Crown Point Community School Corp: Crown Point High School,1500 S Main St,,46307,Crown Point,IN,Lake,US,41.38879,-87.36548,education: k-12,,http://www.cps.k12.in.us/Domain/53,(219) 663-4885,,False,approved,10,"['Advanced College Project: MATH-M 125', 'Advanced College Project: PHSL-P 130', 'Advanced College Project: PHYS-P 101', 'Advanced College Project: MATH-M 118', 'Advanced College Project: MATH-M 126', 'Advanced College Project: CHEM-C 101/121', 'Advanced College Project: BIOL-L 100', 'Advanced College Project: SPAN-S 200', 'Advanced College Project: EDUC-F 200', 'Advanced College Project: SPAN-S 150']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Provide access to target populations""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Provide access to target populations""},{""Provide access to target populations""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']","['', '', '', '', '', '', '', '', '', '']",0,,5,"['Mathematics and Actuarial Science', 'Chemistry, Biochemistry, Physics, Astronomy', 'Mathematics and Actuarial Science', 'Modern Languages, Comparative Literature, Linguistics', 'Chemistry, Biochemistry, Physics, Astronomy', 'School of Education', 'Modern Languages, Comparative Literature, Linguistics', 'Biology', 'Mathematics and Actuarial Science', 'Biology']",3901,Northwest,Advanced College Project
e08833ef-7621-42a0-7236-b63fd5848dea,Diocese of Gary: Andrean High School,5959 Broadway,,46410,Merrillville,IN,Lake,US,41.51057,-87.332635,education: k-12,,http://www.andreanhs.com,(219) 887-5281,,False,approved,4,"['Advanced College Project: PHYS-P 221', 'Advanced College Project: CHEM-C 101/121', 'Advanced College Project: BIOL-L 100', 'Advanced College Project: SPCH-S 121']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work"",""Provide access to target populations""},{""Co-educate students"",""Evaluate or provide feedback on students' work"",""Provide access to target populations""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ', ' ']","['', '', '', '']",0,,3,"['English', 'Biology', 'Chemistry, Biochemistry, Physics, Astronomy', 'Chemistry, Biochemistry, Physics, Astronomy']",B760,Northwest,Advanced College Project
b0307717-22f2-4030-5c4f-69f3c81a254c,Diocese of Gary: Bishop Noll Institute,1519 Hoffman St,,46327,Hammond,IN,Lake,US,41.62687,-87.49205,education: k-12,,http://www.bishopnoll.org,(219) 932-9058,,False,approved,4,"['Advanced College Project: ENG-L 202', 'Advanced College Project: ENG-W 131', 'Advanced College Project: SPAN-S 200', 'Advanced College Project: SPAN-S 150']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ', ' ']","['', '', '', '']",0,,2,"['English', 'English', 'Modern Languages, Comparative Literature, Linguistics', 'Modern Languages, Comparative Literature, Linguistics']",B970,Northwest,Advanced College Project
781a6a37-80c9-4571-54c6-0bc2d413957e,Gary Community School Corp: West Side Leadership Academy,9th & Gerry St,,46406,Gary,IN,Lake,US,41.594362,-87.364569,education: k-12,,http://garycsc.k12.in.us/schools/west-side-leadership-academy/,(219) 413-9870,,False,approved,2,"['Advanced College Project: BIOL-L 100', 'Advanced College Project: POLS-Y 103']","{""Co-educate students"",""Evaluate or provide feedback on students' work"",""Provide access to target populations""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ']","['', '']",0,,2,"['History, Philosophy, Political Science, Religious Studies', 'Biology']",4163,Northwest,Advanced College Project
cce0831c-1438-49fb-437a-88d5e19adae5,Hanover Community School Corp: Hanover Central High School,10120 W 133rd St,,46303,Cedar Lake,IN,Lake,US,41.37863,-87.457253,education: k-12,,http://www.hanover.k12.in.us,(219) 374-3800,,False,approved,1,['Advanced College Project: ENG-W 131'],"{""Co-educate students"",""Evaluate or provide feedback on students' work""}",[' '],[''],0,,1,['English'],3785,Northwest,Advanced College Project
e8a3b172-ea2e-42fb-722e-e0f6dacd0797,Kankakee Valley School Corp: Kankakee Valley High School,3923 W SR 10,,46392,Wheatfield,IN,Jasper,US,41.19,-87.12,education: k-12,,http://kv.k12.in.us/,(219) 956-3143,,False,approved,4,"['Advanced College Project: MATH-M 125', 'Advanced College Project: MATH-M 126', 'Advanced College Project: BIOL-L 100', 'Advanced College Project: SPCH-S 121']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Provide access to target populations""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ', ' ']","['', '', '', '']",0,,3,"['Mathematics and Actuarial Science', 'English', 'Biology', 'Mathematics and Actuarial Science']",3181,Northwest,Advanced College Project
1e514fb5-05d8-4499-4d3d-c4894dc667ad,Knox Community School Corp: Knox Community High School,1 Redskin Trl,,46534,Knox,IN,Starke,US,41.284911,-86.626721,education: k-12,,http://hs.knox.k12.in.us/,(574) 772-1673,,False,approved,9,"['Advanced College Project: MATH-M 125', 'Advanced College Project: HIST-H 106', 'Advanced College Project: MATH-M 215', 'Advanced College Project: PHSL-P 130', 'Advanced College Project: HIST-H 105', 'Advanced College Project: MATH-M 118', 'Advanced College Project: MATH-M 126', 'Advanced College Project: BIOL-L 100', 'Advanced College Project: POLS-Y 103']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Provide access to target populations""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Provide access to target populations""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']","['', '', '', '', '', '', '', '', '']",0,,3,"['Mathematics and Actuarial Science', 'Mathematics and Actuarial Science', 'History, Philosophy, Political Science, Religious Studies', 'Biology', 'History, Philosophy, Political Science, Religious Studies', 'History, Philosophy, Political Science, Religious Studies', 'Mathematics and Actuarial Science', 'Mathematics and Actuarial Science', 'Biology']",7833,Northwest,Advanced College Project
42fadf9e-9c5d-4108-435f-cd850a7703fe,LaPorte Community School Corp: LaPorte High School,602 'F' St,,46350,LaPorte,IN,LaPorte,US,41.601027,-86.727155,education: k-12,,http://www.lpcsc.k12.in.us/lphs/,(219) 362-3102,,False,approved,1,['Advanced College Project: BIOL-L 100'],"{""Co-educate students"",""Evaluate or provide feedback on students' work""}",[' '],[''],0,,1,['Biology'],4741,Northwest,Advanced College Project
297f14e0-c2b1-4d92-6016-e5d8e5468147,Merrillville Community School Corp: Merrillville High School,276 E 68th Pl,,46410,Merrillville,IN,Lake,US,41.494107,-87.32996,education: k-12,,http://www.mvsc.k12.in.us/mhs/,(219) 650-5307,,False,approved,3,"['Advanced College Project: HIST-H 106', 'Advanced College Project: HIST-H 105', 'Advanced College Project: CHEM-C 101/121']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ']","['', '', '']",0,,2,"['Chemistry, Biochemistry, Physics, Astronomy', 'History, Philosophy, Political Science, Religious Studies', 'History, Philosophy, Political Science, Religious Studies']",3809,Northwest,Advanced College Project
e47ffbfa-d676-4987-6d81-7c286aff8c80,M S D Boone Township: Hebron High School,509 S Main St,,46341,Hebron,IN,Porter,US,41.31319,-87.19888,education: k-12,,http://www.hebronschools.k12.in.us,(219) 996-4771,,False,approved,3,"['Advanced College Project: MATH-M 125', 'Advanced College Project: MATH-M 215', 'Advanced College Project: MATH-M 126']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ']","['', '', '']",0,,1,"['Mathematics and Actuarial Science', 'Mathematics and Actuarial Science', 'Mathematics and Actuarial Science']",6813,Northwest,Advanced College Project
