id,name,street,street2,zipcode,city,state,county,country,latitude,longitude,type,description,url,phone,email,archived,status,activityCnt,activityName,role,contactNames,contactEmails,sectionCnt,courses,unitCnt,unitNames,externalId,portal_name,programs
9193f843-436b-49fb-4186-3c0be89f4fdd,Bais Yaakov High School of Indiana,206 West 8th Street,,46544,Mishawaka,IN,St Joseph,US,41.655561,-86.182571,education: k-12,,,(574) 257-0689,,False,approved,3,"['Advanced College Project: POLS-Y 103', 'Advanced College Project: HIST-H 106', 'Advanced College Project: HIST-H 105']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ']","['', '', '']",0,,2,"['Department of History', 'Department of History', 'Department of Political Science']",D196,South Bend,Advanced College Project
beed2aec-a237-4fa5-6f89-cf9c949b68df,Bremen Public Schools: Bremen Senior High School,511 W Grant St,,46506,Bremen,IN,Marshall,US,41.443133,-86.152634,education: k-12,,http://www.bps.k12.in.us,(574) 546-3511,,False,approved,11,"['Advanced College Project: MATH-M 126', 'Advanced College Project: MATH-M 125', 'Advanced College Project: HIST-H 106', 'Advanced College Project: MATH-M 215', 'Advanced College Project: CHEM-C 101/121', 'Advanced College Project: ENG-W 131', 'Advanced College Project: HIST-H 105', 'Advanced College Project: MATH-M 118', 'Advanced College Project: MATH-M 216', 'Advanced College Project: ENG-L 202', 'Advanced College Project: SPCH-S 121']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']","['', '', '', '', '', '', '', '', '', '', '']",0,,5,"['Department of History', 'Division of Speech Language Pathology', 'Department of Mathematical Sciences', 'Department of Mathematical Sciences', 'Department of Mathematical Sciences', 'Department of Mathematical Sciences', 'Department of Chemistry and Biochemistry', 'Department of English', 'Department of History', 'Department of Mathematical Sciences', 'Department of English']",5941,South Bend,Advanced College Project
30ec5c61-bfb0-450d-792e-b24e8290b265,Concord Community Schools: Concord Community High School,59117 Minuteman Way,,46517,Elkhart,IN,Elkhart,US,41.63688,-85.928655,education: k-12,,http://highschool.concord.k12.in.us,(574) 875-6524,,False,approved,6,"['Advanced College Project: HIST-H 106', 'Advanced College Project: SPAN-S 204', 'Advanced College Project: CHEM-C 101/121', 'Advanced College Project: SPAN-S 203', 'Advanced College Project: HIST-H 105', 'Advanced College Project: SPCH-S 121']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ', ' ', ' ', ' ']","['', '', '', '', '', '']",0,,4,"['Department of History', 'College of Liberal Arts and Sciences', 'Department of Chemistry and Biochemistry', 'Division of Speech Language Pathology', 'College of Liberal Arts and Sciences', 'Department of History']",1715,South Bend,Advanced College Project
67676d1b-5042-4901-6e82-ebb74d69447e,DeKalb Co Eastern Com Sch Dist: Eastside Junior-Senior High School,603 E Green St,,46721,Butler,IN,Dekalb,US,41.431103,-84.862839,education: k-12,,http://www.dekalbeastern.com/eastside/index.cfm,(260) 868-2186,,False,approved,1,['Advanced College Project: CHEM-C 101/121'],"{""Co-educate students"",""Evaluate or provide feedback on students' work""}",[' '],[''],0,,1,['Department of Chemistry and Biochemistry'],1317,South Bend,Advanced College Project
4c08f1a5-a812-4993-41d1-d9fa9655f51e,Diocese of Fort Wayne - South Bend: Marian High School,1311 S Logan St,,46544,Mishawaka,IN,St Joseph,US,41.65068,-86.19647,education: k-12,,http://www.marianhs.org,(574) 259-5257,,False,approved,3,"['Advanced College Project: GER-G 204', 'Advanced College Project: GER-G 150', 'Advanced College Project: GER-G 203']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ']","['', '', '']",0,,1,"['College of Liberal Arts and Sciences', 'College of Liberal Arts and Sciences', 'College of Liberal Arts and Sciences']",D165,South Bend,Advanced College Project
0d001bab-7855-455c-4a42-97f5a4aa3f3d,Diocese of Fort Wayne - South Bend: Saint Joseph High School,453 N Notre Dame Ave,,46617,South Bend,IN,St Joseph,US,41.68127,-86.23852,education: k-12,,http://www.saintjoehigh.com,(574) 233-6137,,False,approved,3,"['Advanced College Project: ENG-W 131', 'Advanced College Project: MATH-M 118', 'Advanced College Project: ENG-L 202']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ']","['', '', '']",0,,2,"['Department of English', 'Department of English', 'Department of Mathematical Sciences']",D225,South Bend,Advanced College Project
82b24334-2e41-45ce-422e-aa74c3b6f57e,Diocese of Gary: Marquette Catholic High School,306 W 10th St,,46360,Michigan City,IN,LaPorte,US,41.711026,-86.902709,education: k-12,,http://www.marquette-hs.org,(219) 873-1325,,False,approved,2,"['Advanced College Project: CHEM-C 101/121', 'Advanced College Project: SPCH-S 121']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ']","['', '']",0,,2,"['Department of Chemistry and Biochemistry', 'Division of Speech Language Pathology']",C125,South Bend,Advanced College Project
4c90fd58-0792-4394-67d4-2ae1ce216ed3,East Noble School Corporation: East Noble High School,901 Garden St,,46755,Kendallville,IN,Noble,US,41.434835,-85.257312,education: k-12,,http://hs.eastnoble.net/,(260) 347-2032,,False,approved,1,['Advanced College Project: ENG-L 202'],"{""Co-educate students"",""Evaluate or provide feedback on students' work""}",[' '],[''],0,,1,['Department of English'],6458,South Bend,Advanced College Project
96beb4f2-036d-400a-567a-79e2424a15b6,Fort Wayne Community Schools: North Side High School,475 E State St,,46805,Fort Wayne,IN,Allen,US,41.0979,-85.13552,education: k-12,,http://www.northside.fwcs.k12.in.us,(260) 467-2800,,False,approved,11,"['Advanced College Project: MATH-M 126', 'Advanced College Project: POLS-Y 103', 'Advanced College Project: MATH-M 125', 'Advanced College Project: HIST-H 106', 'Advanced College Project: GER-G 204', 'Advanced College Project: MATH-M 215', 'Advanced College Project: GER-G 150', 'Advanced College Project: ENG-W 131', 'Advanced College Project: GER-G 203', 'Advanced College Project: HIST-H 105', 'Advanced College Project: BIOL-L 100']","{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""},{""Co-educate students"",""Evaluate or provide feedback on students' work""}","[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ']","['', '', '', '', '', '', '', '', '', '', '']",0,,6,"['Department of Mathematical Sciences', 'Department of Biological Sciences', 'Department of English', 'Department of History', 'College of Liberal Arts and Sciences', 'Department of Mathematical Sciences', 'Department of History', 'Department of Mathematical Sciences', 'College of Liberal Arts and Sciences', 'College of Liberal Arts and Sciences', 'Department of Political Science']",0101,South Bend,Advanced College Project
c0e1b207-cb17-4f7b-5fbf-8d838ea4c646,Fort Wayne Community Schools: Wayne High School,9100 Winchester Rd,,46819,Fort Wayne,IN,Allen,US,41.001524,-85.137726,education: k-12,,http://www.wayne.fwcs.k12.in.us,(260) 467-6400,,False,approved,1,['Advanced College Project: CHEM-C 101/121'],"{""Co-educate students"",""Evaluate or provide feedback on students' work""}",[' '],[''],0,,1,['Department of Chemistry and Biochemistry'],0177,South Bend,Advanced College Project
