id,name,street,street2,zipcode,city,state,county,country,latitude,longitude,type,description,url,phone,email,archived,status,activityCnt,activityName,role,contactNames,contactEmails,sectionCnt,courses,unitCnt,unitNames,externalId,portal_name,programs
e8856a6f-0904-45dd-4fee-a7bae2930c65,Clarksville Community School Corp,200 Ettel Ln,,47129-1898,Clarksville,IN,Clark,US,38.299558,-85.767107,education: k-12,,http://www.ccsc.k12.in.us,(812) 282-7753,,False,approved,1,['Career Coaching Grant - IUSE'],,[' '],[''],0,,,,1000,South East,Career Coaching
d6a7f23f-829a-4f5a-773e-14fbf483b757,Clarksville Community School Corp: Clarksville Middle School,101 Ettel Ln,,47129,Clarksville,IN,Clark,US,38.301342,-85.768723,education: k-12,,http://www.ccsc.k12.in.us/ms,(812) 282-8235,,False,approved,1,['Career Coaching Grant - IUSE'],,[' '],[''],0,,,,0851,South East,Career Coaching
c1269ea3-1505-4fe2-40dc-02b8cb87569c,Clarksville Community School Corp: Clarksville Senior High School,800 Dr Dot Lewis Dr,,47129,Clarksville,IN,Clark,US,38.298627,-85.768002,education: k-12,,http://www.ccsc.k12.in.us/hs,(812) 282-8231,,False,approved,1,['Career Coaching Grant - IUSE'],,[' '],[''],0,,,,0833,South East,Career Coaching
bdc29ec4-fea3-45d7-49f4-abf096af3551,Crawford County Community Sch Corp,5805 E Administration Rd,,47140-8415,Marengo,IN,Crawford,US,38.321623,-86.352404,education: k-12,,http://www.cccs.k12.in.us/,(812) 365-2135,,False,approved,1,['Career Coaching Grant - IUSE'],,[' '],[''],0,,,,1300,South East,Career Coaching
e60ab73d-6683-4a4b-68c3-a873f0c1b09a,Crawford County Community Sch Corp: Crawford County High School,1130 S SR 66,,47140,Marengo,IN,Crawford,US,38.314345,-86.3546,education: k-12,,http://www.cccs.k12.in.us/,(812) 365-2125,,False,approved,1,['Career Coaching Grant - IUSE'],,[' '],[''],0,,,,1059,South East,Career Coaching
fc16f783-1b77-474a-70fa-776f7cabdaea,East Washington School Corp,1050 N Eastern School Rd,,47165-7901,Pekin,IN,Washington,US,38.513608,-86.000523,education: k-12,,http://ewsc.k12.in.us/,(812) 967-3926,,False,approved,1,['Career Coaching Grant - IUSE'],,[' '],[''],0,,,,8215,South East,Career Coaching
ab8ff747-460b-4f1b-654b-b35914d44a1d,East Washington School Corp: Eastern High School,1100 N Eastern School Rd E-3,,47165,Pekin,IN,Washington,US,38.51398,-86.00346,education: k-12,,http://www.ewsc.k12.in.us/ehs,(812) 967-3931,,False,approved,1,['Career Coaching Grant - IUSE'],,[' '],[''],0,,,,8905,South East,Career Coaching
77663e7d-fee8-401a-71b6-5a08896532b3,East Washington School Corp: East Washington Middle School,1100 N Eastern School Rd E-5,,47165,Pekin,IN,Washington,US,38.51398,-86.00346,education: k-12,,http://www.ewsc.k12.in.us/ewms,(812) 967-5000,,False,approved,1,['Career Coaching Grant - IUSE'],,[' '],[''],0,,,,8906,South East,Career Coaching
f38529d2-295a-43d2-457e-13e95733f378,Greater Clark County Schools,2112 Utica-Sellersburg Rd,,47130-8506,Jeffersonville,IN,Clark,US,38.338175,-85.68035,education: k-12,,http://www.gcs.k12.in.us/,(812) 283-0701,,False,approved,1,['Career Coaching Grant - IUSE'],,[' '],[''],0,,,,1010,South East,Career Coaching
56289c79-af65-48df-4cf1-b256e410e961,Greater Clark County Schools: Charlestown Senior High School,1 Pirate Pl,,47111,Charlestown,IN,Clark,US,38.455743,-85.666827,education: k-12,,http://www.gcs.k12.in.us/chs/,(812) 256-3328,,False,approved,1,['Career Coaching Grant - IUSE'],,[' '],[''],0,,,,0821,South East,Career Coaching
